"","id","description"
"2841","termecon","Worry about economic burden of terminal illness"
"2842","termrel","My religious community very helpful"
"2843","termemot","Worry about emotional burden on my family"
"2844","termpain","Believe doctors can control my pain"
"2845","termpay","Worry if no money get second class care"
"2846","trustfam","Would trust my family"
"2847","trustdoc","Would trust my doctor"
"2848","trustcrt","Would trust the courts"
"2849","termvig","One of the vignettes"
"2850","rightref","Have a right to refuse further treatment"
"2851","notreat","Refuse treatment except pain relief"
"2852","instrctn","Prepare written instructions explaining future car"
"2853","hospice","Choose hospice until patient dies"
"2854","painmed","Ask doctors to increase pain medication"
"2855","docsui","Ask for physician-assisted suicide"
"2856","famwhts","Whites committed to strong families"
"2857","famblks","Blacks committed to strong families"
"2858","famjews","Jews committed to strong families"
"2859","famhsps","Hispanics committed to strong families"
"2860","famasns","Asians committed to strong families"
"2861","fairwhts","Whites committed to fair and equal treatment of"
"2862","fairblks","Blacks committed to fair and equal treatment of"
"2863","fairjews","Jews committed to fair and equal treatment of a"
"2864","fairhsps","Hispanics committed to fair and equal treatment"
"2865","fairasns","Asians committed to fair and equal treatment o"
"2866","conteng","Have English positive contribution to country"
"2867","contitl","Have italians positive contribution to country"
"2868","contchn","Have chinese positive contribution to country"
"2869","contjew","Have Jews positive contribution to country"
"2870","contblk","Have blacks positive contribution to country"
"2871","contmex","Have mexicans positive contribution to country"
"2872","contvn","Have vietnamese positive contribution to country"
"2873","contcuba","Have cubans positive contribution to country"
"2874","contirsh","Have irish positive contribution to country"
"2875","contpr","Have puerto ricans positive contribution to country"
"2876","contjpn","Have japanese positive contribution to country"
"2877","contmslm","Have muslims positive contribution to country"
"2878","othlang","Can R speak language other than English/Spanish"
"2879","othlang1","What other languages Does R speak"
"2880","othlang2","What other languages Does R speak"
"2881","othbest","What language other than English Does R speak b"
"2882","spklang","How well Does R speak other language"
"2883","uselang","How often Does R use language other than English"
"2884","getlang","Where did R learn other language"
"2885","parlang","R's parents speak other language at home"
"2886","granlang","R's grandparents speak other language at home"
"2887","langcom","How often are other languages heard in community"
"2888","langwrk","How often are other languages heard at work"
"2889","engoff1","English official language of U.S."
"2890","twolang","Children should learn other language in high sc"
"2891","nobiling","Bilingual education should be abolished"
"2892","engunite","English unites all Americans"
"2893","forlang1","Learning foreign language important math and s"
"2894","engthrtn","English threatened by languages spoken by immig"
"2895","engvote","Ballots should offered other languages than eng"
"2896","othhome","R speaks other language at home"
"2897","betrlang","Which language R speaks more fluent"
"2898","spklangw","How well R speaks the language in betrlang"
"2899","letinhsp","Immigration from Latin America should be increased"
"2900","letinasn","Immigration from Asia should be increased"
"2901","letineur","Immigration from Europe should be increased"
"2902","immecon","Will immigrants lead to economic growth"
"2903","immcrmup","More immigrants cause higher crime rates"
"2904","immnew","More immigrants open country new ideas and cult"
"2905","immnojob","Immigrants cause American to lose jobs"
"2906","uswht","What percentage of population is white"
"2907","usblk","What percentage of population is black"
"2908","usjews","What percentage of population is Jewish"
"2909","ushisp","What percentage of population is Hispanic"
"2910","usasn","What percentage of population is Asian"
"2911","usamind","What percentage of population is American India"
"2912","usmixed","What percentage of population is of mixed heritage"
"2913","whtchng","Percentage change population of whites in 25 yr"
"2914","blkchng","Percentage change population of blacks in 25 yr"
"2915","jewschng","Percentage change population of Jews in 25 yrs"
"2916","hispchng","Percentage change population of Hispanics in 25"
"2917","asnchng","Percentage change population of Asians in 25 yr"
"2918","ethchng","Ethnic change in 25 yrs good for country"
"2919","comwht","Percentage white living in R's community"
"2920","comblk","Percentage black living in R's community"
"2921","comjews","Percentage Jews living in R's community"
"2922","comhisp","Percentage Hispanic living in R's community"
"2923","comasn","Percentage Asian living in R's community"
"2924","comamind","Percentage American Indian living in R's community"
"2925","hispwork","How many people Hispanic at work"
"2926","knwwht","Does R Personally any whites"
"2927","knwblk","Does R Personally any blacks"
"2928","knwjew","Does R Personally any Jews"
"2929","knwhisp","Does R Personally any Hispanics"
"2930","knwasn","Does R Personally any Asians"
"2931","whtschl","Does R know whites from school"
"2932","whtcom","Does R know whites from community"
"2933","whtrel","Does R know whites as relative"
"2934","whtwrk","Does R know whites from work"
"2935","whtcls","Does R feel close to whites"
"2936","blkschl","Does R know blacks from school"
"2937","blkcom","Does R know blacks from community"
"2938","blkrel","Does R know blacks as relative"
"2939","blkwrk","Does R know blacks from work"
"2940","blkcls","Does R feel close to blacks"
"2941","jewsschl","Does R know Jews from school"
"2942","jewscom","Does R know Jews from community"
"2943","jewsrel","Does R know Jews as relative"
"2944","jewswrk","Does R know Jews from work"
"2945","jewscls","Does R feel close to Jews"
"2946","hispschl","Does R know Hispanics from school"
"2947","hispcom","Does R know Hispanics from community"
"2948","hisprel","Does R know Hispanics as relative"
"2949","hispwrk","Does R know Hispanics from work"
"2950","hispcls","Does R feel close to Hispanics"
"2951","asnschl","Does R know Asians from school"
"2952","asncom","Does R know Asians from community"
"2953","asnrel","Does R know Asians as relative"
"2954","asnwrk","Does R know Asians from work"
"2955","asncls","Does R feel close to Asians"
"2956","mostcom","Have most in common with which group"
"2957","leastcom","Have least in common with which group"
"2958","neieth1","Preferred ethnic neighborhood"
"2959","neieth2","Preferred ethnic neighborhood"
"2960","neieth3","Preferred ethnic neighborhood"
"2961","neieth4","Preferred ethnic neighborhood"
"2962","neieth5","Preferred ethnic neighborhood"
"2963","neieth6","Preferred ethnic neighborhood"
"2964","neieth7","Preferred ethnic neighborhood"
"2965","neieth8","Preferred ethnic neighborhood"
"2966","neieth9","Preferred ethnic neighborhood"
"2967","neieth10","Preferred ethnic neighborhood"
"2968","neieth11","Preferred ethnic neighborhood"
"2969","neieth12","Preferred ethnic neighborhood"
"2970","neieth13","Preferred ethnic neighborhood"
"2971","neieth14","Preferred ethnic neighborhood"
"2972","hswht","High school mostly white"
"2973","hseth","Largest non white ethnic group in high school"
"2974","timekid1","Time R spends with child 1"
"2975","timekid2","Time R spends with child 2"
"2976","timekid3","Time R spends with child 3"
"2977","timekid4","Time R spends with child 4"
"2978","sptmkid1","Time spouse spends with child 1"
"2979","sptmkid2","Time spouse spends with child 2"
"2980","sptmkid3","Time spouse spends with child 3"
"2981","sptmkid4","Time spouse spends with child 4"
"2982","kdtmkid1","Time child 1 spends with R"
"2983","kdtmkid2","Time child 2 spends with R"
"2984","kdtmkid3","Time child 3 spends with R"
"2985","kdtmkid4","Time child 4 spends with R"
"2986","knowkid1","R knows what child is doing on weekend"
"2987","knowkid2","R knows what child is doing on weekend"
"2988","knowkid3","R knows what child is doing on weekend"
"2989","knowkid4","R knows what child is doing on weekend"
"2990","huclean","R HU interior cleanliness rating"
"2991","homeband","How home is connected to www"
"2992","freemns1","What does freedom mean to you"
"2993","freemns2","What does freedom mean to you"
"2994","freemns3","What does freedom mean to you"
"2995","freeexp1","What experiences in life make you feel most free"
"2996","freeexp2","What experiences in life make you feel most free"
"2997","freeexp3","What experiences in life make you feel most free"
"2998","howfree","How much freedom do Americans have"
"2999","rhowfree","How much freedom Does R have"
"3000","freenow","Americans have more freedom than in past"
"3001","rfreenow","R have more freedom than in past"
"3002","satdemoc","R satisfied with way democracy works in America"
"3003","leftlone","Being left alone important for freedom"
"3004","nogovt","No govt interference important for freedom"
"3005","inpeace","Feeling of inner peace important for freedom"
"3006","partpol","Political participation important for freedom"
"3007","choice","Choice what to do in life important for freedom"
"3008","expunpop","Expression of unpopular ideas important for freedom"
"3009","freeprss","Press should be completely free"
"3010","wlthpov","Some rich some poor ok in free society"
"3011","cntrlife","Control R feels over own life"
"3012","modact","R limited in moderate activities"
"3013","stairs","R limited in climbing staiR's"
"3014","didlessp","Health prevent doing desired activities past 4"
"3015","limitedp","Health limit type of work past 4 wks"
"3016","didlesse","Emotion prevent desired activities past 4 wks"
"3017","crelesse","Emotion work less carefully past 4 wks"
"3018","pain","Pain interfere with work past 4 wks"
"3019","peaceful","Felt peaceful in past 4 wks"
"3020","energy","Have a lot of energy in past 4 wks"
"3021","downblue","Felt down and blue in past 4 wks"
"3022","socacts","Physical and emotion social activities past 4"
"3023","treat1","R seek treat moderate activities"
"3024","treat2","R seek treat climbing staiR's"
"3025","treat3","R seek treat doing less than desired physic"
"3026","treat4","R seek treat limited types of work"
"3027","treat5","R seek treat doing less than desired emotio"
"3028","treat6","R seek treat working less carefully"
"3029","treat7","R seek treat pain interfere with work"
"3030","treat8","R seek treat not calm and peaceful"
"3031","treat9","R seek treat lack of energy"
"3032","treat10","R seek treat downhearted and blue"
"3033","treat11","R seek treat health interfere with social l"
"3034","wait1","How long R wait treatment moderate activity"
"3035","wait2","How long R wait treatment climbing stairs"
"3036","wait3","How long R wait treatment doing less work p"
"3037","wait4","How long R wait treatment limited types of"
"3038","wait5","How long R wait treatment doing less work e"
"3039","wait6","How long R wait treatment working less care"
"3040","wait7","How long R wait treatment pain interfere wi"
"3041","wait8","How long R wait treatment not calm and peace"
"3042","wait9","How long R wait treatment lack of energy"
"3043","wait10","How long R wait treatment downhearted and b"
"3044","wait11","How long R wait treatment health interfere"
"3045","downqol","Treatment for downheartedness improve quality of life"
"3046","downfam","Treatment for downheartedness improve family"
"3047","downcure","Treatment for downheartedness cure condition"
"3048","downrely","Treatment for downheartedness rely less on"
"3049","downfeel","Treatment for downheartedness improve feelings"
"3050","painqol","Treatment for pain improve quality of life"
"3051","painfam","Treatment for pain improve family relations"
"3052","paincure","Treatment for pain cure condition"
"3053","painrely","Treatment for pain rely less on others"
"3054","painfeel","Treatment for pain improve feeling about se"
"3055","emotqol","Treatment for emotion improve quality of li"
"3056","emotfam","Treatment for emotion improve family relations"
"3057","emotcure","Treatment for emotion cure condition"
"3058","emotrely","Treatment for emotion rely less on others"
"3059","emotfeel","Treatment for emotion improve feeling about"
"3060","ethimp","Importance of ethnic group to R"
"3061","ethignor","US harmony by ignore ethnic differences"
"3062","ethnofit","Eth minorities never fit in am mainstream"
"3063","ethtrads","Society recognize right of ethnic traditions"
"3064","ethadapt","Minorities must adapt to American culture"
"3065","feelblks","How R feels towards african Americans"
"3066","feelasns","How R feels towards Asian Americans"
"3067","feelhsps","How R feels towards Hispanics"
"3068","feelwhts","How R feel towards caucAsians"
"3069","ethsame","Individual of same ethnic group similar"
"3070","ethdiff","Ethnic groups in us different"
"3071","whtsdiff","Whites different from minorities"
"3072","docvig","Vignette about the doctor"
"3073","regdoc","R has regular doctor or clinic"
"3074","regdocyr","R has had doctor for more than one year"
"3075","docaskme","R prefers doc ask opinion"
"3076","docdecid","R leaves decisions up to doctor"
"3077","docrely","R relies on doctors knowledge"
"3078","hlthplan","R had medicare or medicaid"
"3079","chosedoc","R had enough choices among docs"
"3080","insrlmts","R's insurance plan has limits"
"3081","diffcare","R had difficulty getting specialty care"
"3082","fininc","R heard docs limit used of exp tests"
"3083","fininc1","Importance to R to be told about incentives"
"3084","fininc2","Best time to be told about incentives"
"3085","fininc3","Best person to tell about incentives"
"3086","fininc4","R likely to ask doc about incentives"
"3087","belvedoc","R believe what doctor said"
"3088","docinfo","Doctor provided enough info"
"3089","docnomri","R agree with doc decision to not order mri"
"3090","docsat","How satisfied R with office visit"
"3091","doccosts","How R trust doc put health above costs"
"3092","docswtch","Would R switch physicians"
"3093","insrchng","Would R change insurance plans"
"3094","secopin","Would R seek second opinion"
"3095","wrktype","Work arrangement at main job"
"3096","yearsjob","Time at current job"
"3097","waypaid","How paid in main job"
"3098","wrksched","Usual work schedule"
"3099","moredays","Days per month R work extra hours"
"3100","mustwork","Mandatory to work extra hours"
"3101","chngtme","How often R allowed change schedule"
"3102","wrkhome","How often R works at home"
"3103","whywkhme","Usual reason R work at home"
"3104","famwkoff","How hard to take time off"
"3105","wkvsfam","How often job interferes fam life"
"3106","famvswk","How often fam life interfere job"
"3107","hrsrelax","Hours per day R have to relax"
"3108","secondwk","R has job other than main"
"3109","learnnew","Job requires R to learn new things"
"3110","workfast","Job requires R to work fast"
"3111","workdiff","R does numerous things on job"
"3112","lotofsay","R has lot of say in job"
"3113","wktopsat","Satisfaction comes from work"
"3114","overwork","R has too much work to do well"
"3115","knowwhat","R knows what's expected on job"
"3116","myskills","Job allows R use of skills"
"3117","respect","R treated with respect at work"
"3118","trustman","R trust management at work"
"3119","safetywk","Worker safety priority at work"
"3120","safefrst","No shortcuts on worker safety"
"3121","teamsafe","Mgt and employees work together re safety"
"3122","safehlth","Safety and health condition good at work"
"3123","proudemp","R proud to work for employer"
"3124","prodctiv","Work conditions allow productivity"
"3125","wksmooth","Workplace runs in smooth manner"
"3126","trdunion","Workers need strong unions"
"3127","partteam","R work as part of a team"
"3128","wkdecide","How often R take part in decisions"
"3129","setthngs","How often R set way things done"
"3130","toofewwk","How often not enough staff"
"3131","promteok","R's chances for promotion good"
"3132","opdevel","Opportunity to develop my abilities"
"3133","hlpequip","Enough help and equip to ge the job done"
"3134","haveinfo","Enough info to get the job done"
"3135","wkfreedm","A lot of freedom to decide how to do job"
"3136","fringeok","Fringe benefits are good"
"3137","supcares","Supervisor concerned about welfare"
"3138","condemnd","R free from conflicting demands"
"3139","promtefr","Promotions are handled fairly"
"3140","cowrkint","Coworkers take a Personal interest in R"
"3141","jobsecok","The job security is good"
"3142","suphelp","Supervisor helpful to R in getting job done"
"3143","wrktime","R has enough time to get the job done"
"3144","cowrkhlp","Coworkers can be relied on when R needs help"
"3145","trainops","R have the training opportunities"
"3146","manvsemp","Relations bw management and employees"
"3147","hvylift","R do repeated lifting"
"3148","handmove","R perform forceful hand movements"
"3149","wkpraise","R is likely to be praised by supervisor"
"3150","wkbonus","R is likely to get a bonus or pay increase"
"3151","fairearn","How fair is what R earn on the job"
"3152","rincblls","Income alone is enough"
"3153","laidoff","R was laid off main job last year"
"3154","jobfind1","How easy for R to find a same job"
"3155","trynewjb","How likely R make effort for new job next year"
"3156","wkageism","R feels discriminated because of age"
"3157","wkracism","R feels discriminated because of race"
"3158","wksexism","R feels discriminated because of gender"
"3159","wkharsex","R sexually harassed on the job last 12 months"
"3160","wkharoth","R threatened on the job last 12 months"
"3161","health1","R's health in general"
"3162","physhlth","Days of poor physical health past 30 days"
"3163","mntlhlth","Days of poor mental health past 30 days"
"3164","hlthdays","Days of activity limitation past 30 days"
"3165","usedup","How often during past month R felt used up"
"3166","backpain","R had back pain in the past 12 months"
"3167","painarms","R had pain in the arms in the past 12 months"
"3168","hurtatwk","Number of injuries on the job past 12 months"
"3169","satjob1","Job satisfaction in general"
"3170","workfor","R work for whom"
"3171","ownstock","R has stock in R's company"
"3172","stockval","Total dollar value of R's stock"
"3173","stockops","R hold any stock options of R's company"
"3174","extrapay","Eligible for performance based pay"
"3175","compperf","Size of perf based pay depend on profits"
"3176","deptperf","Size of perf based pay depend on workgroup"
"3177","indperf","Size of perf based pay depend on individual"
"3178","extr2001","Did R receive perf based payment in 2001"
"3179","extraval","Total dollar value of pay in previous year"
"3180","extrayr","Year of the most recent perf based payments"
"3181","yearval","Total dollar value of payments in that year"
"3182","seecowrk","How easy to see whether co-workers working"
"3183","cowrkhrd","How hard to say how people work at workplace"
"3184","talkemp","How likely to talk directly if coworker not work"
"3185","talksup","How likely to speak supervisor if coworker not w"
"3186","donothng","How likely to do nothing if coworker not working"
"3187","lastwkmo","What month were you last working"
"3188","lastwkyr","What year were you last working"
"3189","empathy1","R have tender feeling for people less fortunate"
"3190","empathy2","R does not feel very sorry for people having pro"
"3191","empathy3","R feels protective towards people taken advantage"
"3192","empathy4","Others misfortunes do not disturb r"
"3193","empathy5","R does not feel pity for someone treated unfair"
"3194","empathy6","R often quite touched by things"
"3195","empathy7","R describes oneself as a soft-hearted person"
"3196","givblood","R donated blood during the past 12 months"
"3197","givhmlss","R has given food or money to a homeless person"
"3198","retchnge","R returned money after getting too much change"
"3199","cutahead","R allowed a stranger to go ahead of you in line"
"3200","volchrty","R done volunteer work for a charity"
"3201","givchrty","R has given money to a charity"
"3202","givseat","R offered seat to a stranger during past 12 months"
"3203","helpaway","R looked after plant or pet of others while away"
"3204","carried","R carried a stranger's belongings"
"3205","directns","R has given directions to a stranger"
"3206","loanitem","R has let someone borrow a item of some value"
"3207","selfless","R feels like a selfless caring for others"
"3208","accptoth","R accept others even when they do things wrong"
"3209","othshelp","People should help less fortunate others"
"3210","careself","Those in need have to take care of themselves"
"3211","peoptrbl","Assisting people in trouble is very important"
"3212","selffrst","People need not overly worry about others"
"3213","finind","Young should be financially independent"
"3214","finind1","Aged should be financially independent"
"3215","ownhh","Young should not live with parents"
"3216","ownhh1","Aged should stop living with parents"
"3217","eddone","Young should complete formal schooling"
"3218","eddone1","Aged should complete formal schooling"
"3219","ftwork","Young should be employed full-time"
"3220","ftwork1","Aged should be employed full-time"
"3221","supfam","Young should be able to support family"
"3222","supfam1","Aged should be able to support family"
"3223","havchld","Young should have child"
"3224","havchld1","Aged should have child"
"3225","getmar","Young should get married"
"3226","getmar1","Aged should get married"
"3227","boycott","Have ever boycotted a product past 5 years"
"3228","signpet","Have ever signed a petition past 5 years"
"3229","protest","Have ever joined a protest rally past 5 years"
"3230","conoffcl","Have ever contacted an elected official"
"3231","givchng","Have given money to group advocating social change"
"3232","hlpneedy","Have ever contributed time to help the needy"
"3233","partthon","Have participated in a walkathon over past 5 years"
"3234","chldvig","Vignette asked"
"3235","chldprb","What R think may be wrong with a named youth"
"3236","chldprob","How serious R consider his or her problem"
"3237","chldhlp","What should be done to help a named youth"
"3238","badchar","Situation caused by own bad character"
"3239","chembal","Situation by a chemical imbalance in the brain"
"3240","stressfl","Situation caused by stressful circumstances"
"3241","geneprob","Situation caused by a genetic or inherited problem"
"3242","raised","Situation caused by the way he or she was raised"
"3243","violtv","Situation caused by watching violent TV"
"3244","discipln","Situation caused by lacking discipline in the"
"3245","allergic","Situation caused by food or chemical allergies"
"3246","bettrown","Situation will improve on its own"
"3247","imprvdis","Situation will improve with strict discipline"
"3248","imprveat","Situation will improve with some changes in diet"
"3249","imprvmed","Situation will improve with medical treatment"
"3250","nextdoor","How willing R move next door to child's family"
"3251","spendeve","How willing R spend evening with child's family"
"3252","chldfrnd","How willing R have children make friends with ch"
"3253","chldsch","How willing R have child in same class of R's ch"
"3254","adfam","Would R get advice from family if child was R's"
"3255","adfammed","Would R have child be on medication by fam advice"
"3256","adtch","Would R get advice from teachers child if was R's"
"3257","adtchmed","Would have child be on med by teachers advice"
"3258","addoc","Would go to a medical doctor if he was R's child"
"3259","addocmed","Would have child be on med by docs advice"
"3260","adcou","Would R go to counselor if child was R's"
"3261","adcoumed","Would R have child on med by counseloR's advice"
"3262","adpsy","Would R go to a psychiatrist if child was R's"
"3263","adpsymed","Would R have child on med by psychiatrists ad"
"3264","adhos","Would R check child into a hospital if was R's"
"3265","adhosmed","Would R have child be on med by hospital staff"
"3266","forcedoc","Should child be forced by law to be treated by doc"
"3267","forcemed","Should child be forced by law to take a prescription"
"3268","forcehos","Should child be forced by law to admit to a hosp"
"3269","grwingup","Is child experiencing normal ups and downs"
"3270","mntlill","Is child experiencing a mental illness"
"3271","illphys","Is child experiencing a physical illness"
"3272","violpeop","Would child do something violent toward other"
"3273","violself","Would child do something violent to own self"
"3274","outsider","Getting mental health treatment make child an"
"3275","sufadult","Would child suffer as adult if other learn"
"3276","comknows","People in community still know who had mental"
"3277","failure","Mental treatment for child make parent feel like"
"3278","ovrmedkd","Docs are over medicating child with common problem"
"3279","medkdneg","Medicating child will have long term negative"
"3280","putsoff","Psychiatric med only put off dealing with problem"
"3281","trbllaw","Child with med get into less trouble with the"
"3282","medsavtx","Govt programs for mental health treatment will"
"3283","zombies","Med for behavior problems turn kids into zombies"
"3284","pryntfam","Med just prevent family from working out problem"
"3285","adhdknow","What Does R know about ADHD"
"3286","adhdknw","What Does R know about ADHD (verbatim)"
"3287","adhdreal","Is ADHD a real disease"
"3288","adhdcon","Children should be given counseling for ADHD"
"3289","adhdmed","Children should be given medication to treat ADHD"
"3290","mntlrel","Effect of mental health problem on relation with"
"3291","medsymps","Med for mental health problem help people"
"3292","medaddct","Med for mental health problem are addictive"
"3293","medweak","Taking medications is a sign of weakness"
"3294","medunacc","Med for mental health problem often have side of"
"3295","solveown","R would solve problem on ones own or get advice"
"3296","doc15a","Doctor not really care me as a person"
"3297","doc16a","Doctors judgment trusted"
"3298","doc18a","Doctor put medical needs above all other"
"3299","doc19a","Doctor a real expert in taking care problem"
"3300","doc20a","Doctor tell me if a mistake was made"
"3301","difstand","Some ppl hold standard in workplace that others don?"
"3302","rptprobs","Ppl feel free to report problems in workplace"
"3303","othcredt","Other people take credit for R's work or ideas"
"3304","putdown","Ppl at work treat R in a manner putting R down"
"3305","lackinfo","Ppl at work fail to give R necessary info"
"3306","perspace","Ppl at work get in R's Personal space to intimidate"
"3307","physharm","R have been threatened with physical harm at work"
"3308","actupset","Ppl at work throw things when upset with R"
"3309","shout","Ppl at work shout at R in hostile manner"
"3310","hotargus","Heated arguments occur in workplace"
"3311","reliedon","Ppl at work can be relied on when needs help"
"3312","gdjobsec","Job security is good"
"3313","treatres","People are treated with respect"
"3314","lookaway","Ppl look the other way when others are threatened"
"3315","skipwork","How often R stayed at home or leave work early"
"3316","numemps","Number of employee for the self-employed"
"3317","natborn","What country R were born in"
"3318","bornhome","What kind of house R's family lived at birth"
"3319","travelus","Transportation R took when travelling to us"
"3320","immstats","R's current immigration status right now"
"3321","rundrstd","Did R appear to understand 3-box answer format"
"3322","robject","Did R object to or delay answering card c4"
"3323","genevig1","Vignette number used"
"3324","genevig2","Vignette order used"
"3325","genenvo1","Gene or learning?"
"3326","genenvo2","Gene or learning?"
"3327","genenvo3","Gene or learning?"
"3328","genenvo4","Gene or learning?"
"3329","satself","On the whole I am satisfied with myself"
"3330","afailure","I am inclined to feel I am a failure"
"3331","slfrspct","I wish i could have more respect for myself"
"3332","ofworth","I am a person of worth at least equal to others"
"3333","nogood","At times I think I am no good at all"
"3334","optimist","I am always optimistic about my future"
"3335","pessimst","I hardly ever expect things to go my way"
"3336","notcount","I rarely count on good things happening to me"
"3337","moregood","I expect more good things to happen to me than bad"
"3338","owndoing","Degree of influence over what happens to me"
"3339","geneexps","Genes or experiences in determining Personality"
"3340","depndabl","R is a dependable person"
"3341","sadblue","R is a person who feels sad and blue"
"3342","athletic","R is an athletic person"
"3343","kindpers","R is a kind person"
"3344","selfish","R is a selfish person"
"3345","intrwght","Interview assessment of R's weight"
"3346","agape1","Would suffer than let the one R love suffer"
"3347","agape2","Not happy unless the one s happiness is before R"
"3348","agape3","Willing to sacrifice wish to let the one achieve"
"3349","agape4","Would endure all things for the one R love"
"3350","hgunlaw","Should be more restrictions on handgun"
"3351","hguncrim","More restrictions on handgun decrease crime"
"3352","crimup","What if more restrictions increase crime"
"3353","crimdown","What if more restrictions reduce crime"
"3354","numrelex","Number of real experience that changed R's life"
"3355","agerelex","Age of R at religious experience"
"3356","chngrel","R changed religion because of experience"
"3357","numrborn","How many born-again experience R had"
"3358","agerborn","Age of R at born-again experience"
"3359","chngrbrn","R changed religion because of experience"
"3360","entity","Entity mentions in religious change"
"3361","expchng1","Cause of religious change1"
"3362","expchng2","Cause of religious change2"
"3363","expchng3","Cause of religious change3"
"3364","whychng1","Religious change experience1"
"3365","whychng2","Religious change experience2"
"3366","whychng3","Religious change experience3"
"3367","changed1","Life changes from religious change1"
"3368","changed2","Life changes from religious change2"
"3369","changed3","Life changes from religious change3"
"3370","relalt1","Rel change altered R's outlook on life"
"3371","relalt2","Rel change made R sense life was meaningful"
"3372","relalt3","Rel change changed goals in life"
"3373","relalt4","Rel change positively affected relation with others"
"3374","relalt5","Rel change changed day to day activities"
"3375","relalt6","Rel change changed life overall"
"3376","alloflfe","Experience connection to all of life"
"3377","joylifts","Feel joy during worship"
"3378","relsprt1","Find strength religion or spirituality"
"3379","relsprt2","Find comfort in religion or spirituality"
"3380","godhelp","Ask for gods help in daily activities"
"3381","godguide","Feel guided by god in daily activities"
"3382","godlvdir","Feel gods love for R directly"
"3383","godlvoth","Feel gods love for me through others"
"3384","blessngs","Feel thankful for R's blessings"
"3385","closrgod","Desire to be closer to god"
"3386","godclose","How close to god"
"3387","idols","Catholics are idols"
"3388","rosaries","Catholic rosaries are superstitious"
"3389","notthink","Catholics are not permitted to think"
"3390","evdrink","Ever drank any alcoholic beverage"
"3391","drinkyr","How regularly R drink over last 12 months"
"3392","drinkday","How many drinks R have on a day when drinking"
"3393","drink6up","How often R has 6 or more drinks in a day"
"3394","drinkmax","Largest number of drinks in a day last 12 months"
"3395","drink12","How often at least 12 but less than 20 drinks"
"3396","drink8","How often at least 8 but less than 12 drinks"
"3397","drink5","How often at least 5 but less than 8 drinks"
"3398","drink3","How often at least 3 but less than 5 drinks"
"3399","drink1","How often at least 1 but less than 3 drinks"
"3400","drinkmin","How often at least a sip but less than one full drink"
"3401","churchtx","Membership in church-related groups"
"3402","infrmgrp","Any activities with the same group of ppl regularly"
"3403","typfrat","R belongs to more than one fraternal groups"
"3404","typserv","R belongs to more than one service clubs"
"3405","typvet","R belongs to more than one veterans groups"
"3406","typpolit","R belongs to more than one political clubs"
"3407","typunion","R belongs to more than one labor unions"
"3408","typsport","R belongs to more than one sports groups"
"3409","typyouth","R belongs to more than one youth groups"
"3410","typschl","R belongs to more than one school service groups"
"3411","typhobby","R belongs to more than one hobby clubs"
"3412","typgreek","R belongs to more than one school fraternities"
"3413","typnat","R belongs to more than one nationality groups"
"3414","typfarm","R belongs to more than one farm organizations"
"3415","typlit","R belongs to more than one literary groups"
"3416","typprof","R belongs to more than one professional societies"
"3417","typchurh","R belongs to more than one church affiliate groups"
"3418","typother","R belongs to more than one other groups"
"3419","typinfrm","R belongs to more than one informal groups"
"3420","numfrat","How many R belongs to fraternal groups"
"3421","bthgrp1a","What are the groups you both belong to?"
"3422","bthgrp1b","What are the groups you both belong to?"
"3423","bthgrp1c","What are the groups you both belong to?"
"3424","bthgrp1d","What are the groups you both belong to?"
"3425","bthgrp1e","What are the groups you both belong to?"
"3426","bthgrp1f","What are the groups you both belong to?"
"3427","bthgrp2a","What are the groups you both belong to?"
"3428","bthgrp2b","What are the groups you both belong to?"
"3429","bthgrp2c","What are the groups you both belong to?"
"3430","bthgrp2d","What are the groups you both belong to?"
"3431","bthgrp2e","What are the groups you both belong to?"
"3432","bthgrp2f","What are the groups you both belong to?"
"3433","bthgrp3a","What are the groups you both belong to?"
"3434","bthgrp3b","What are the groups you both belong to?"
"3435","bthgrp3c","What are the groups you both belong to?"
"3436","bthgrp3d","What are the groups you both belong to?"
"3437","bthgrp3e","What are the groups you both belong to?"
"3438","bthgrp3f","What are the groups you both belong to?"
"3439","bthgrp4a","What are the groups you both belong to?"
"3440","bthgrp4b","What are the groups you both belong to?"
"3441","bthgrp4c","What are the groups you both belong to?"
"3442","bthgrp4d","What are the groups you both belong to?"
"3443","bthgrp4e","What are the groups you both belong to?"
"3444","bthgrp4f","What are the groups you both belong to?"
"3445","bthgrp5a","What are the groups you both belong to?"
"3446","bthgrp5b","What are the groups you both belong to?"
"3447","bthgrp5c","What are the groups you both belong to?"
"3448","bthgrp5d","What are the groups you both belong to?"
"3449","bthgrp5e","What are the groups you both belong to?"
"3450","bthgrp5f","What are the groups you both belong to?"
"3451","frstgrp1","Which group meet name1"
"3452","frstgrp2","Which group meet name2"
"3453","frstgrp3","Which group meet name3"
"3454","frstgrp4","Which group meet name4"
"3455","frstgrp5","Which group meet name5"
"3456","whoelse1","Presence of others: children under six"
"3457","whoelse2","Presence of others: older children"
"3458","whoelse3","Presence of others: spouse partner"
"3459","whoelse4","Presence of others: other relatives"
"3460","whoelse5","Presence of others: other adults"
"3461","whoelse6","Presence of others: no one"
"3462","numserv","How many R belongs to service clubs"
"3463","numvet","How many R belongs to veterans groups"
"3464","numpolit","How many R belongs to political clubs"
"3465","numunion","How many R belongs to labor unions"
